Timestamp,What Could you have done?,Min. Time needed,Approved
26/07/2015 18:48:24,done very little else. And I'm glad you did not!,0:00:00,TRUE
08/07/2015 11:54:12,approved this app for distribution through the App Store...,0:00:12,TRUE
12/07/2015 22:43:04,updated your profile picture on Facebook.,0:00:45,TRUE
26/07/2015 18:49:09,briefly checked for new emails.,0:01:30,TRUE
12/07/2015 22:46:44,closed all of your open apps on your iPhone.,0:02:00,TRUE
26/07/2015 18:49:25,re-heated that cold cup of coffee using the microvave.,0:02:00,TRUE
26/07/2015 18:48:45,trolled someone on Twitter.,0:02:00,TRUE
26/07/2015 18:49:39,soft-boiled an egg.,0:04:00,TRUE
26/07/2015 18:51:11,helped a blind person to see with the 'Be My Eyes' app.,0:05:00,TRUE
12/07/2015 22:44:52,paired all of your socks.,0:07:00,TRUE
26/07/2015 18:49:58,hard boilded an egg,0:08:00,TRUE
12/07/2015 22:45:34,cleared your internet browser history.,0:10:00,TRUE
08/07/2015 11:51:15,had a short bath.,0:11:00,TRUE
26/07/2015 18:50:25,had a good hard think about the meaning of it all.,0:16:00,TRUE
12/07/2015 22:47:13,updated your iOS.,0:45:00,TRUE
12/07/2015 22:41:15,lost an argument with Luke Farrington!,8:00:00,TRUE
